Total,Crew,passenger,Ground,T,Incident[a],Phase,Year,Month,days_of_week,surivors,Country,City,accident ,Reason,Aircraft_name,Aircraft_model,flight_company
123,6,117,0,COM,Faucett Perú Flight 251,APR ,1996,2,Thursday,no survivors,Peru,Arequipa,Crashed,Misscommunication,Boeing,737-222,Faucett Perú Flight
123,7,116,0,COM,Varig Flight 820,APR ,1973,7,Wednesday,no survivors,France,Saulx-les-Chartreux,Crashed,mountain collied,Boeing,707-320C,Varig Flight 820
123,12,111,0,COM,South African Airways Flight 228,ICL ,1968,4,Saturday,no survivors,Namibia (then South West Africa),Windhoek,Crashed,explosive device,Boeing,707-344C,South African Airways
122,14,108,0,MIL,Myanmar Air Force (5820),ENR ,2017,6,Wednesday,no survivors,Myanmar,Andaman Sea,Crashed,unable to control,Shaanxi,Y-8F-200,Myanmar Air Force
122,8,114,0,COM,Aeroflot Flight 964,APR ,1973,10,Saturday,no survivors,USSR,Domodedovo,Hijacked,international act,Tupolev,Tu-104B,Aeroflot Flight 964
122,7,115,0,COM,Aeroflot Flight 1491,APR ,1972,5,Thursday,no survivors,USSR,near Kharkiv,Hijacked,Into sea,Antonov,An-10,Aeroflot Flight 1491
121,6,115,0,COM,Helios Airways Flight 522,ENR ,2005,8,Sunday,no survivors,Greece,Grammatiko,Collied,while takeoff,Boeing,737-31S,Helios Airways Flight
121,13,108,0,COM,Pakistan International Airlines Flight 705,APR ,1965,5,Thursday,no survivors,Egypt,New Cairo,Exploded,higy alltitude,Boeing,720,Pakistan International Airlines
120,10,110,0,COM,Aeroflot Flight 831 and Soviet Air Force An-12,ENR ,1969,6,Monday,no survivors,USSR,Poroslitsy,Collied,While landing,Ilyushin,Il-14M,Aeroflot Flight 831
119,12,107,0,COM,Iran Air Tours Flight 956,APR ,2002,2,Tuesday,no survivors,Iran,near Sarab-e Dowreh,Crashed,mountain collied,Tupolev,Tu-154M,Iran Air Tours
119,8,111,0,COM,TAME Flight 173,APR ,1983,7,Monday,no survivors,Ecuador,Cuenca,explosion,terrorist attack,Boeing,737-200,TAME Flight 173
118,8,106,4,COM,Scandinavian Airlines System Flight 686 and Private aircraft (D-IEVX),TOFTXI  ,2001,10,Monday,no survivors,Italy,Milan,caught fire ,Wing failure,McDonnell,Douglas,Scandinavian Airlines System
118,9,109,0,COM,British European Airways Flight 548,ICL ,1972,6,Sunday,no survivors,United Kingdom,Staines,Shot down,overloaded flight,Hawker,Siddeley,British European Airways
118,7,111,0,COM,Trans-Canada Air Lines Flight 831,ENR ,1963,11,Friday,no survivors,Canada,Sainte-Thérèse,Crashed ,lost signal,Douglas,DC-8-54CF,Trans-Canada Air Lines
117,6,111,0,COM,Bellview Airlines Flight 210,ENR ,2005,10,Saturday,no survivors,Nigeria,near Lagos,Crashed,mountain collied,Boeing,737-2L9,Bellview Airlines Flight
116,11,105,0,COM,Sudan Airways Flight 139,APR ,2003,7,Tuesday,survivors,Sudan,Port Sudan,Crashed,Misscommunication,Boeing,737-200C,Sudan Airways Flight
117,11,106,0,COM,Air India Flight 101,ENR ,1966,1,Monday,no survivors,France,Mont Blanc massif,Bomded,mountain collied,Boeing,707-437,Air India Flight
116,6,110,0,COM,Air Algérie Flight 5017,ENR ,2014,7,Thursday,no survivors,Mali,near Gossi,Shot down,explosive device,McDonnell,Douglas,Air Algérie Flight
116,8,108,0,COM,Avioimpex Flight 110,APR ,1993,11,Saturday,no survivors,Republic of Macedonia,Ohrid,Crashed,unable to control,Yakovlev,Yak-42,Avioimpex Flight 110
115,11,104,0,INB,Korean Air Flight 858,ENR ,1987,11,Sunday,no survivors,Burma,Andaman Sea,Crashed,international act,Boeing,707-3B5C,Korean Air Flight
115,7,108,0,COM,Alitalia Flight 112,APR ,1972,5,Friday,no survivors,Italy,Cinisi,Crashed ,Into sea,McDonnell,Douglas,Alitalia Flight 112
114,6,108,0,COM,Kenya Airways Flight 507,ENR ,2007,5,Saturday,no survivors,Cameroon,Douala,Collied,while takeoff,Boeing,737-8AL,Kenya Airways Flight
113,8,105,0,COM,Armavia Flight 967,APR ,2006,5,Wednesday,no survivors,Russia,Black Sea,Crashed,higy alltitude,Airbus,A320-221,Armavia Flight 967
113,9,100,4,COM,Air France Flight 4590,ICL ,2000,7,Tuesday,no survivors,France,Gonesse,Crashed,While landing,Aérospatiale-BAC,Concorde,Air France Flight
113,14,99,0,COM,Thai Airways International Flight 311,ENR ,1992,7,Friday,no survivors,Nepal,Langtang National Park,diappeared,mountain collied,Airbus,A310-304,Thai Airways International
113,6,107,0,COM,Eastern Air Lines Flight 66,APR ,1975,6,Tuesday,no survivors,U.S.,Jamaica,Crashed,terrorist attack,Boeing,727-225,Eastern Air Lines
113,10,103,0,COM,Air France Flight 117,APR ,1962,6,Friday,no survivors,West Indies,near Deshaies,Collied,Wing failure,Boeing,707-328,Air France Flight
112,6,106,0,COM,Cubana de Aviación Flight 0972,ICL ,2018,5,Friday,survivors,Cuba,Santiago de las Vegas,Crashed,overloaded flight,Boeing,737-201,Cubana de Aviación
112,9,103,0,COM,China Northern Airlines Flight 6136,APR ,2002,5,Tuesday,no survivors,China,Dalian Bay,exploded,lost signal,McDonnell,Douglas,China Northern Airlines
112,1,111,0,COM,United Airlines Flight 232,LDG  ,1989,7,Wednesday,no survivors,U.S.,Sioux City,Crashed,mountain collied,McDonnell,Douglas,United Airlines Flight
112,5,107,0,INB,Gulf Air Flight 771,APR ,1983,9,Friday,no survivors,United Arab Emirates,Mina Jebel Ali,Crashed,Misscommunication,Boeing,737-2P6,Gulf Air Flight
112,8,104,0,COM,CAAC Flight 3303,APR ,1982,4,Monday,no survivors,China,near Yangshuo,Crashed,mountain collied,Hawker,Siddeley,CAAC Flight 3303
112,6,106,0,COM,Sterling Airways Flight 296,ENR ,1972,3,Tuesday,no survivors,United Arab Emirates,Fujairah,Crashed,explosive device,Sud,Aviation,Sterling Airways Flight
